forecast_date,year,state,seat_number,r_prob,r_pct_05,r_avg,r_pct_95
2026-04-19,2026,California,47,0.0261,0.3353174225,0.41087469698,0.4858056625
2026-04-19,2026,California,48,0.245,0.3916691645,0.468095098526,0.5446689065
2026-04-19,2026,California,49,0.015,0.32705733249999996,0.401420680017,0.4750141335
2026-04-19,2026,California,50,7e-4,0.281875895,0.357563637447,0.432418312
2026-04-19,2026,California,51,7e-4,0.28992143200000003,0.364038177625,0.4381528995
2026-04-19,2026,California,52,0.001,0.28038612399999996,0.356023605606,0.4300612865
2026-04-19,2026,Colorado,1,0,0.123880936,0.1973180991612,0.27157041800000004
2026-04-19,2026,Colorado,2,0,0.197074002,0.2710677409819,0.345756963
2026-04-19,2026,Colorado,3,0.9339,0.49427438026798576,0.5634621229050002,0.6322455016404155
2026-04-19,2026,Colorado,4,0.9648,0.507581495,0.584140522104,0.6608284655
2026-04-19,2026,Colorado,5,0.9038,0.4862476569022801,0.5547463056442099,0.6233766585036391
2026-04-19,2026,Colorado,6,8e-4,0.28625422450000004,0.36007964619,0.43447524949999994
2026-04-19,2026,Colorado,7,0.0052,0.3110144035,0.383999831791,0.4574471935
2026-04-19,2026,Colorado,8,0.6651,0.443823901,0.5202967149,0.5974082814999999
2026-04-19,2026,Connecticut,1,5e-4,0.2692723495,0.344016176811,0.41865114899999994
2026-04-19,2026,Connecticut,2,0.0161,0.3322892235,0.405677649712,0.4783500839999999
2026-04-19,2026,Connecticut,3,0.0037,0.3080446025,0.380874719626,0.45559196699999993
2026-04-19,2026,Connecticut,4,0,0.271744987,0.345605677307,0.419858173
2026-04-19,2026,Connecticut,5,0.054,0.35458840850000006,0.428863557615,0.5013724105
2026-04-19,2026,Delaware,1,0.0051,0.3108761275,0.384250367693,0.4579782645
2026-04-19,2026,Florida,1,1,0.586749131,0.663716292427,0.7401085624999999
2026-04-19,2026,Florida,2,0.9423,0.495951479,0.569339957066,0.6427298354999998
2026-04-19,2026,Florida,3,0.9852,0.5274703715000001,0.604427678226,0.680635251
2026-04-19,2026,Florida,4,0.9252,0.490787877,0.566326420027,0.642727466
2026-04-19,2026,Florida,5,0.9896,0.5302194645,0.609661757372,0.6870615075
2026-04-19,2026,Florida,6,0.9989,0.5661106985,0.642616122112,0.718803273
2026-04-19,2026,Florida,7,0.9199,0.489574315,0.566842481629,0.6451244369999998
2026-04-19,2026,Florida,8,0.9913,0.5316405750000001,0.609110032909,0.6866619954999998
2026-04-19,2026,Florida,9,0.0416,0.3489835985,0.42304064456,0.4961737254999999
