party,margin_diff,seats,prob
rep,-0.1,38,2e-4
rep,-0.1,39,1e-4
rep,-0.1,40,0.0026
rep,-0.1,41,0.0118
rep,-0.1,42,0.0378
rep,-0.1,43,0.1025
rep,-0.1,44,0.2129
rep,-0.1,45,0.2815
rep,-0.1,46,0.2027
rep,-0.1,47,0.0988
rep,-0.1,48,0.0361
rep,-0.1,49,0.0097
rep,-0.1,50,0.0029
rep,-0.1,51,4e-4
rep,-0.09000000000000001,39,1e-4
rep,-0.09000000000000001,40,0.001
rep,-0.09000000000000001,41,0.0045
rep,-0.09000000000000001,42,0.0206
rep,-0.09000000000000001,43,0.0689
rep,-0.09000000000000001,44,0.1711
rep,-0.09000000000000001,45,0.269
rep,-0.09000000000000001,46,0.2357
rep,-0.09000000000000001,47,0.1404
rep,-0.09000000000000001,48,0.061
rep,-0.09000000000000001,49,0.0214
rep,-0.09000000000000001,50,0.0054
rep,-0.09000000000000001,51,6e-4
rep,-0.09000000000000001,52,3e-4
rep,-0.08,40,4e-4
rep,-0.08,41,0.0022
rep,-0.08,42,0.0102
rep,-0.08,43,0.0436
rep,-0.08,44,0.1227
rep,-0.08,45,0.2315
rep,-0.08,46,0.2629
rep,-0.08,47,0.1824
rep,-0.08,48,0.0937
rep,-0.08,49,0.0377
rep,-0.08,50,0.0096
rep,-0.08,51,0.0025
rep,-0.08,52,4e-4
rep,-0.08,53,1e-4
rep,-0.08,54,1e-4
rep,-0.07,40,1e-4
rep,-0.07,41,0.0012
rep,-0.07,42,0.0048
rep,-0.07,43,0.023
rep,-0.07,44,0.0795
rep,-0.07,45,0.1804
rep,-0.07,46,0.2507
rep,-0.07,47,0.2192
rep,-0.07,48,0.1477
rep,-0.07,49,0.0615
rep,-0.07,50,0.0234
rep,-0.07,51,0.0072
rep,-0.07,52,0.0011
rep,-0.07,53,2e-4
rep,-0.060000000000000005,40,2e-4
rep,-0.060000000000000005,41,3e-4
rep,-0.060000000000000005,42,0.0015
rep,-0.060000000000000005,43,0.0101
rep,-0.060000000000000005,44,0.0453
rep,-0.060000000000000005,45,0.1276
rep,-0.060000000000000005,46,0.2187
rep,-0.060000000000000005,47,0.2525
rep,-0.060000000000000005,48,0.1821
rep,-0.060000000000000005,49,0.1032
rep,-0.060000000000000005,50,0.0444
rep,-0.060000000000000005,51,0.0117
rep,-0.060000000000000005,52,0.0021
rep,-0.060000000000000005,53,3e-4
rep,-0.05,41,2e-4
rep,-0.05,42,4e-4
rep,-0.05,43,0.0045
rep,-0.05,44,0.025
rep,-0.05,45,0.077
rep,-0.05,46,0.1738
rep,-0.05,47,0.2379
rep,-0.05,48,0.225
rep,-0.05,49,0.1526
rep,-0.05,50,0.0686
rep,-0.05,51,0.0264
rep,-0.05,52,0.0077
rep,-0.05,53,9e-4
rep,-0.04000000000000001,43,0.0021
rep,-0.04000000000000001,44,0.01
rep,-0.04000000000000001,45,0.0433
rep,-0.04000000000000001,46,0.1132
rep,-0.04000000000000001,47,0.2046
rep,-0.04000000000000001,48,0.2424
rep,-0.04000000000000001,49,0.204
rep,-0.04000000000000001,50,0.1173
rep,-0.04000000000000001,51,0.0484
rep,-0.04000000000000001,52,0.0121
rep,-0.04000000000000001,53,0.0022
rep,-0.04000000000000001,54,4e-4
rep,-0.03,43,5e-4
rep,-0.03,44,0.0047
rep,-0.03,45,0.0178
rep,-0.03,46,0.0708
rep,-0.03,47,0.1528
rep,-0.03,48,0.2361
rep,-0.03,49,0.2465
rep,-0.03,50,0.1634
rep,-0.03,51,0.0778
rep,-0.03,52,0.0243
rep,-0.03,53,0.0047
rep,-0.03,54,6e-4
rep,-0.020000000000000004,43,1e-4
rep,-0.020000000000000004,44,0.0014
rep,-0.020000000000000004,45,0.0089
rep,-0.020000000000000004,46,0.0358
rep,-0.020000000000000004,47,0.0982
rep,-0.020000000000000004,48,0.1951
rep,-0.020000000000000004,49,0.2499
rep,-0.020000000000000004,50,0.2179
rep,-0.020000000000000004,51,0.1328
rep,-0.020000000000000004,52,0.0465
rep,-0.020000000000000004,53,0.0105
rep,-0.020000000000000004,54,0.0026
rep,-0.020000000000000004,55,3e-4
rep,-0.010000000000000009,44,2e-4
rep,-0.010000000000000009,45,0.0028
rep,-0.010000000000000009,46,0.0169
rep,-0.010000000000000009,47,0.0577
rep,-0.010000000000000009,48,0.1453
rep,-0.010000000000000009,49,0.2303
rep,-0.010000000000000009,50,0.2534
rep,-0.010000000000000009,51,0.1826
rep,-0.010000000000000009,52,0.0826
