year,state,seat_number,pres_year,last_pres_r2p
2026,Alaska,1,2024,0.568465625
2026,Alabama,1,2024,0.778821013
2026,Alabama,2,2024,0.458440645
2026,Alabama,3,2024,0.735363238
2026,Alabama,4,2024,0.834611946
2026,Alabama,5,2024,0.647472396
2026,Alabama,6,2024,0.69485656
2026,Alabama,7,2024,0.382119532
2026,Arkansas,1,2024,0.730879359
2026,Arkansas,2,2024,0.579572096
2026,Arkansas,3,2024,0.627953684
2026,Arkansas,4,2024,0.703304898
2026,Arizona,1,2024,0.51568418
2026,Arizona,2,2024,0.575601237
2026,Arizona,3,2024,0.298463031
2026,Arizona,4,2024,0.466186635
2026,Arizona,5,2024,0.600964465
2026,Arizona,6,2024,0.503788932
2026,Arizona,7,2024,0.388059487
2026,Arizona,8,2024,0.582399728
2026,Arizona,9,2024,0.656713052
2026,California,1,2024,0.43461
2026,California,2,2024,0.37323
2026,California,3,2024,0.445005
2026,California,4,2024,0.423225
2026,California,5,2024,0.59697
2026,California,6,2024,0.453915
2026,California,7,2024,0.43164
2026,California,8,2024,0.3267
2026,California,9,2024,0.43857
2026,California,10,2024,0.329175
2026,California,11,2024,0.159885
2026,California,12,2024,0.12969
2026,California,13,2024,0.49302
2026,California,14,2024,0.323235
2026,California,15,2024,0.25839
2026,California,16,2024,0.256905
2026,California,17,2024,0.302445
2026,California,18,2024,0.35442
2026,California,19,2024,0.325215
2026,California,20,2024,0.65439
2026,California,21,2024,0.4653
2026,California,22,2024,0.50391
2026,California,23,2024,0.590535
2026,California,24,2024,0.371745
2026,California,25,2024,0.46629
2026,California,26,2024,0.41976
2026,California,27,2024,0.446985
2026,California,28,2024,0.37026
2026,California,29,2024,0.32868
2026,California,30,2024,0.297495
2026,California,31,2024,0.43461
2026,California,32,2024,0.37125
2026,California,33,2024,0.44649
2026,California,34,2024,0.24453
2026,California,35,2024,0.456885
2026,California,36,2024,0.30195
2026,California,37,2024,0.19602
2026,California,38,2024,0.434115
2026,California,39,2024,0.447975
2026,California,40,2024,0.55539
2026,California,41,2024,0.425205
2026,California,42,2024,0.430155
2026,California,43,2024,0.252945
2026,California,44,2024,0.321255
2026,California,45,2024,0.475695
2026,California,46,2024,0.415305
2026,California,47,2024,0.4455
2026,California,48,2024,0.47817
2026,California,49,2024,0.435105
2026,California,50,2024,0.40491
2026,California,51,2024,0.40491
2026,California,52,2024,0.408375
2026,Colorado,1,2024,0.211936317
2026,Colorado,2,2024,0.295409434
2026,Colorado,3,2024,0.549883248
2026,Colorado,4,2024,0.593566881
2026,Colorado,5,2024,0.546685217
2026,Colorado,6,2024,0.398198595
2026,Colorado,7,2024,0.422925595
2026,Colorado,8,2024,0.50940024
2026,Connecticut,1,2024,0.383656039
2026,Connecticut,2,2024,0.460717633
2026,Connecticut,3,2024,0.428339413
2026,Connecticut,4,2024,0.38135293
2026,Connecticut,5,2024,0.471623846
2026,Delaware,1,2024,0.425207644
2026,Florida,1,2024,0.687943364
2026,Florida,2,2024,0.590880887
2026,Florida,3,2024,0.60658272
2026,Florida,4,2024,0.559812604
2026,Florida,5,2024,0.608391965
2026,Florida,6,2024,0.651540936
2026,Florida,7,2024,0.563087196
2026,Florida,8,2024,0.612751247
2026,Florida,9,2024,0.482224909
2026,Florida,10,2024,0.384920315
2026,Florida,11,2024,0.582039786
2026,Florida,12,2024,0.674270027
2026,Florida,13,2024,0.559862911
2026,Florida,14,2024,0.461206775
2026,Florida,15,2024,0.556766022
2026,Florida,16,2024,0.578017007
2026,Florida,17,2024,0.620552397
2026,Florida,18,2024,0.648145108
2026,Florida,19,2024,0.646778705
2026,Florida,20,2024,0.300168339
2026,Florida,21,2024,0.583406777
2026,Florida,22,2024,0.471911197
2026,Florida,23,2024,0.49038767
2026,Florida,24,2024,0.34842172
2026,Florida,25,2024,0.473075822
2026,Florida,26,2024,0.675973997
2026,Florida,27,2024,0.573881747
2026,Florida,28,2024,0.627862033
2026,Georgia,1,2024,0.579464063
2026,Georgia,2,2024,0.461747463
2026,Georgia,3,2024,0.649381612
2026,Georgia,4,2024,0.234807387
2026,Georgia,5,2024,0.138346335
2026,Georgia,6,2024,0.248274235
2026,Georgia,7,2024,0.611514557
2026,Georgia,8,2024,0.653609037
2026,Georgia,9,2024,0.671676115
2026,Georgia,10,2024,0.604569301
2026,Georgia,11,2024,0.617818613
2026,Georgia,12,2024,0.571155174
2026,Georgia,13,2024,0.28637773
2026,Georgia,14,2024,0.685081793
2026,Hawaii,1,2024,0.374168326
2026,Hawaii,2,2024,0.38968524
2026,Iowa,1,2024,0.542953521
2026,Iowa,2,2024,0.550637987
2026,Iowa,3,2024,0.522321257
2026,Iowa,4,2024,0.659507807
2026,Idaho,1,2024,0.730988906
2026,Idaho,2,2024,0.637805691
2026,Illinois,1,2024,0.337713941
2026,Illinois,2,2024,0.332114589
2026,Illinois,3,2024,0.340830974
2026,Illinois,4,2024,0.35623862
2026,Illinois,5,2024,0.312169284
