state,seat_number,dem_primary_votes,rep_primary_votes,dem_primary,rep_primary
California,1,117542,86866,0.575036202,0.424963798
California,2,140874,72402,0.660524391,0.339475609
California,3,123891,95981,0.563468745,0.436531255
California,4,129191,159042,0.448217241,0.551782759
California,5,81322,128944,0.386757726,0.613242274
California,6,107281,85744,0.55578811,0.44421189
California,7,131838,77385,0.630131487,0.369868513
California,8,128160,49325,0.722089191,0.277910809
California,9,79195,50998,0.608289232,0.391710768
California,10,151825,68441,0.689280234,0.310719766
California,11,220868,13517,0.942329927,0.057670073
California,12,181339,0,1,0
California,13,55372,41734,0.570222231,0.429777769
California,14,113519,39027,0.744162417,0.255837583
California,15,122418,29426,0.806209004,0.193790996
California,16,138309,38453,0.7824589,0.2175411
California,17,98023,34047,0.742204891,0.257795109
California,18,80460,34802,0.698061807,0.301938193
California,19,151115,57618,0.723963149,0.276036851
California,20,47996,113973,0.29632831,0.70367169
California,21,57953,41704,0.581524629,0.418475371
California,22,46469,32086,0.591547324,0.408452676
California,23,53462,81119,0.397247754,0.602752246
California,24,127057,73922,0.632190428,0.367809572
California,25,87814,58544,0.599994534,0.400005466
California,26,114636,77894,0.595418896,0.404581104
California,27,90214,62682,0.590035057,0.409964943
California,28,126697,59928,0.678885466,0.321114534
California,29,92672,29325,0.759625237,0.240374763
California,30,142433,41238,0.775478981,0.224521019
California,31,94621,60345,0.610592001,0.389407999
California,32,138435,68094,0.670293276,0.329706724
California,33,72789,45279,0.616500661,0.383499339
California,34,101663,16289,0.861901451,0.138098549
California,35,75674,51379,0.595609706,0.404390294
California,36,167823,66393,0.716530895,0.283469105
California,37,106145,13759,0.885249867,0.114750133
California,38,87861,49122,0.641400758,0.358599242
California,39,74443,47618,0.609883583,0.390116417
California,40,95936,119688,0.444922643,0.555077357
California,41,105303,58709,0.642044485,0.357955515
California,42,114768,85946,0.571798679,0.428201321
California,43,98478,19988,0.831276484,0.168723516
California,44,84498,25233,0.770046751,0.229953249
California,45,86080,74038,0.537603517,0.462396483
California,46,79425,38936,0.671040292,0.328959708
California,47,106223,84449,0.557098053,0.442901947
California,48,99939,86053,0.537329563,0.462670437
California,49,125608,99282,0.558530837,0.441469163
California,50,122574,84181,0.592846606,0.407153394
California,51,121638,71554,0.629622345,0.370377655
California,52,83447,42006,0.66516544,0.33483456
Washington,1,,,,
Washington,2,,,,
Washington,3,,,,
Washington,4,,,,
Washington,5,,,,
Washington,6,,,,
Washington,7,,,,
Washington,8,,,,
Washington,9,,,,
Washington,10,,,,
