year,state,seat_name,incumbent_party,incumbent_running,incumbent_elections_won,candidate_party,candidate_fullname,candidate_firstname,candidate_lastname,dem_statewide_elected,rep_statewide_elected,fec_candidate_id
2024,Arizona,Class I,IND,None,1,DEM,Ruben Gallego,Ruben,Gallego,FALSE,FALSE,
2024,Arizona,Class I,IND,None,1,REP,Kari Lake,Kari,Lake,FALSE,FALSE,
2024,California,Class I,DEM,None,1,DEM,Adam B. Schiff,Adam,Schiff,FALSE,FALSE,
2024,California,Class I,DEM,None,1,REP,Steve Garvey,Steve,Garvey,FALSE,FALSE,
2024,Connecticut,Class I,DEM,DEM,2,DEM,Chris Murphy,Chris,Murphy,TRUE,FALSE,
2024,Connecticut,Class I,DEM,DEM,2,REP,Matthew Corey,Matthew,Corey,TRUE,FALSE,
2024,Delaware,Class I,DEM,None,4,DEM,Lisa Blunt Rochester,Lisa,Blunt Rochester,TRUE,FALSE,
2024,Delaware,Class I,DEM,None,4,REP,Eric Hansen,Eric,Hansen,TRUE,FALSE,
2024,Florida,Class I,REP,REP,1,DEM,Debbie Mucarsel-Powell,Debbie,Mucarsel-Powell,FALSE,TRUE,
2024,Florida,Class I,REP,REP,1,REP,Rick Scott,Rick,Scott,FALSE,TRUE,
2024,Hawaii,Class I,DEM,DEM,2,DEM,Mazie Hirono,Mazie,Hirono,TRUE,FALSE,
2024,Hawaii,Class I,DEM,DEM,2,REP,Adriel Lam,Adriel,Lam,TRUE,FALSE,
2024,Indiana,Class I,REP,None,1,DEM,Marc Carmichael,Marc,Carmichael,FALSE,TRUE,
2024,Indiana,Class I,REP,None,1,REP,Jim Banks,Jim,Banks,FALSE,TRUE,
2024,Maine,Class I,IND,IND,2,DEM,David Costello,David,Costello,FALSE,FALSE,
2024,Maine,Class I,IND,IND,2,IND,Angus S. King Jr.,Angus,King,FALSE,FALSE,
2024,Maine,Class I,IND,IND,2,REP,Demitroula Kouzounas,Demitroula,Kouzounas,FALSE,FALSE,
2024,Maryland,Class I,DEM,None,3,DEM,Angela Alsobrooks,Angela,Alsobrooks,FALSE,TRUE,
2024,Maryland,Class I,DEM,None,3,REP,Larry Hogan,Larry,Hogan,FALSE,TRUE,
2024,Massachusetts,Class I,DEM,DEM,2,DEM,Elizabeth Ann Warren,Elizabeth,Warren,TRUE,FALSE,
2024,Massachusetts,Class I,DEM,DEM,2,REP,John Deaton,John,Deaton,TRUE,FALSE,
